optimizer,learning_rate,momentum,cpu,memory,time,epochs,predictions,dataset,loss,accuracy
nadam,0.0072577322739684315,0.048648982578680444,66.5,75.1438,83.8919,8,174.001220703125,15,0.07142285257577896,0.96875
sgd,0.0035162185278875646,0.46854084796887496,66.5,75.725,80.1017,8,130.50091552734375,14,0.10481136292219162,0.9583333134651184
rmsprop,0.0016394623268214364,0.24270200804917874,66.5688,73.0438,99.972,8,348.00244140625,15,0.08447674661874771,0.9635416865348816
adadelta,0.0011726524059765936,0.504491957690648,66.6,71.9523,236.0531,22,174.001220703125,12,0.578707218170166,0.6354166865348816
adagrad,0.004810677290362667,0.5140893188245035,66.495,76.67,118.9125,10,348.00244140625,14,0.08699647337198257,0.9635416865348816
adam,0.0011986536261711866,0.3677224780546844,66.385,75.405,103.183,10,130.50091552734375,16,0.059647172689437866,0.984375
adamax,0.006977772602887531,0.8857122179398794,66.4,70.5964,156.381,14,130.50091552734375,16,0.02543109469115734,0.9947916865348816
ftrl,0.003091559995346439,0.23718488207742738,66.4,73.0857,139.1922,14,43.50030517578125,15,0.05720119550824165,0.984375
nadam,0.0035863867470229613,0.40188746907251205,66.4125,74.1562,95.2319,8,261.0018310546875,16,0.04960307106375694,0.9895833134651184
sgd,0.008551557687185785,0.47632378721634827,66.4,75.1333,60.9115,6,43.50030517578125,13,0.07709269225597382,0.9791666865348816
rmsprop,0.003059099821153216,0.464717535714955,66.3,74.7143,80.3867,7,261.0018310546875,16,0.07904266566038132,0.9739583134651184
adadelta,0.002480409664569621,0.6063193746881423,66.356,75.761,485.5178,50,87.0006103515625,16,0.32339048385620117,0.8541666865348816
adagrad,0.0032214350689058206,0.18641526891405924,66.475,75.54,121.0106,10,391.5027465820312,15,0.13743777573108673,0.9270833134651184
adam,0.0035300385680968813,0.2624292066655616,66.4,73.325,73.6965,6,391.5027465820312,15,0.057601045817136765,0.9791666865348816
adamax,0.009605302675261296,0.6735208085487405,66.4,72.9571,78.8675,7,304.50213623046875,16,0.09538639336824417,0.953125
ftrl,0.0027664269325142154,0.8253578424336363,66.3818,74.8273,118.6624,11,304.50213623046875,15,0.14384576678276062,0.9479166865348816
nadam,0.009209886726020057,0.8795205099285078,66.3062,75.15,90.857,8,348.00244140625,14,0.047344427555799484,0.9895833134651184
sgd,0.005499169697606364,0.1989239719182998,66.165,73.93,114.3151,10,304.50213623046875,15,0.0735560953617096,0.9739583134651184
rmsprop,0.0012102898894586081,0.12164866308135491,66.1542,73.025,136.3258,12,304.50213623046875,16,0.07298100739717484,0.9739583134651184
adadelta,0.008920180479720614,0.38613532556009167,66.0933,74.7756,508.3152,45,348.00244140625,16,0.31809917092323303,0.8385416865348816
adagrad,0.00036265144015644934,0.8887160095749501,65.83,75.9025,207.746,20,217.50152587890622,15,0.2471618503332138,0.9270833134651184
adam,0.0009352591379913929,0.016171358844433215,65.81,73.07,101.0471,10,43.50030517578125,16,0.01943899877369404,0.9895833134651184
adamax,0.003716210460016113,0.1885548277461706,65.7,75.67,96.5728,10,43.50030517578125,16,0.05996319651603699,0.984375
ftrl,0.006710358131876501,0.11387060297863083,65.7,74.8917,68.0192,6,130.50091552734375,15,0.11756855249404907,0.9583333134651184
nadam,0.006809916573599536,0.9141609656691737,65.7,73.4875,81.5027,8,87.0006103515625,16,0.07303327322006226,0.9635416865348816
sgd,0.0013154187779640515,0.1467971075834147,65.6,76.0667,215.1724,21,217.50152587890622,15,0.07352086156606674,0.9895833134651184
rmsprop,0.007424282851854681,0.6872312984825689,65.8,76.2667,60.1758,6,43.50030517578125,16,0.056908052414655685,0.984375
adadelta,0.007532014939657378,0.1866003298458202,65.7217,75.5783,299.2544,30,130.50091552734375,15,0.2637956440448761,0.8645833134651184
